,molecule,engine,temperature,pressure,ensemble,forcefield_name,cutoff_style,long_range_correction,r_cut,pressure-avg,pressure-std,pressure-sem,temperature-avg,temperature-std,temperature-sem,potential_energy-avg,potential_energy-std,potential_energy-sem,density-avg,density-std,density-sem
34,ethanolAA,cassandra,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,1100.9015507314693,355.4507643063722,88.86269107659305,280.0,0.0,0.0,-10989.091105359375,39.15544808085991,9.788862020214978,0.8134909356063542,0.0013345960311544694,0.00033364900778861734
35,ethanolAA,cassandra,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,1306.5241974025141,326.08413793394254,81.52103448348564,300.0,0.0,0.0,-9618.100656297396,23.64264547641873,5.910661369104682,0.7912818525394791,0.0008829528154467213,0.00022073820386168033
36,ethanolAA,cassandra,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,1634.8622611289443,283.28092659352745,70.82023164838186,320.0,0.0,0.0,-8211.544145572916,24.79496281042563,6.198740702606408,0.7687202859646354,0.0008468373536246669,0.00021170933840616672
37,ethanolAA,mcccs,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,113.791580010069,159.45060640788222,39.862651601970555,0.0,0.0,0.0,-10993.899185534472,24.56715211814847,6.141788029537118,0.8131620309526504,0.0007448916645554213,0.00018622291613885534
38,ethanolAA,mcccs,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,168.718159485625,113.9951603741116,28.4987900935279,0.0,0.0,0.0,-9633.49571877299,22.694604582110646,5.6736511455276615,0.7916906949656918,0.0007824403944813829,0.00019561009862034573
39,ethanolAA,mcccs,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,178.17398830229166,117.44422351909432,29.36105587977358,0.0,0.0,0.0,-8215.346902223459,24.758454601688157,6.189613650422039,0.7686480123237696,0.0010293645669822613,0.00025734114174556533
40,ethanolAA,gomc,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,73.82676037295047,229.41972307688044,57.35493076922011,280.0,0.0,0.0,-1316410.1096084896,4920.244044398107,1230.0610110995267,0.8131313624791041,0.0014130531794989858,0.00035326329487474646
41,ethanolAA,gomc,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,189.33884519343806,160.73121090962596,40.18280272740649,300.0,0.0,0.0,-1153163.4855680207,4151.372410961057,1037.8431027402642,0.7913484722631563,0.0013261621823414586,0.00033154054558536466
42,ethanolAA,gomc,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,187.7324407434529,235.43716134138515,58.85929033534629,320.0,0.0,0.0,-982220.6171556511,3957.009782240972,989.252445560243,0.7680116167513229,0.0011735365258760796,0.0002933841314690199
43,ethanolAA,gromacs,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,-0.18802512448769337,14.8946603224094,3.72366508060235,279.98895524102625,0.26090072711825657,0.06522518177956414,-7045.887545749052,22.953775808713953,5.738443952178488,0.816776394186089,0.00023989817952917823,5.9974544882294556e-05
44,ethanolAA,gromacs,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,0.4887926870285848,18.88738372413123,4.721845931032807,299.9842745059775,0.33296690752590247,0.08324172688147562,-5383.192305854823,30.972998233993128,7.743249558498282,0.7956309742518117,0.0003515280944911218,8.788202362278045e-05
45,ethanolAA,gromacs,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,7.386085277182733,16.36290891398086,4.090727228495215,319.7222432843016,0.27728240727497183,0.06932060181874296,-3675.625280928752,18.771018093961377,4.692754523490344,0.7736642320435503,0.00037277412529925744,9.319353132481436e-05
46,ethanolAA,hoomd,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,-213.60666293220967,622.6881733188677,155.67204332971693,278.280373216568,0.048639019260606924,0.012159754815151731,-7019.56063054578,15.701777553793786,3.9254443884484465,0.8158507450751165,0.0004173917818738502,0.00010434794546846255
47,ethanolAA,hoomd,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,18.195206560870957,561.3429378651543,140.33573446628859,298.18270927920105,0.031193472226197085,0.007798368056549271,-5356.528356876066,12.728565429690816,3.182141357422704,0.7955390375561049,0.0006699188454743484,0.0001674797113685871
48,ethanolAA,hoomd,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,139.14117443706803,620.2447448690798,155.06118621726995,318.05181463686273,0.05853420399596539,0.014633550998991348,-3638.271772033905,12.393012023932512,3.098253005983128,0.7737540395695532,0.0005696384060432825,0.00014240960151082062
49,ethanolAA,lammps-VU,280.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,111.82732873174142,430.7158874800335,107.67897187000837,280.012746860633,0.045927991191355384,0.011481997797838846,-6552.472148956112,9.831177369535625,2.4577943423839064,0.8160460979302364,0.00036781074367673634,9.195268591918408e-05
50,ethanolAA,lammps-VU,300.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,-7.46773990895972,269.38193292433175,67.34548323108294,300.015323409767,0.06284411712385393,0.015711029280963483,-4854.502013981132,7.479035537092114,1.8697588842730286,0.7954329437061574,0.0002927443340395005,7.318608350987512e-05
51,ethanolAA,lammps-VU,320.0,101.325,NPT,oplsaa,hard,energy_pressure,1.0,0.24833346712508078,1.564784515992586,0.3911961289981465,320.0133517112167,0.04510527299399878,0.011276318248499695,-3105.911366040009,13.721818595408674,3.4304546488521686,0.7737386886586287,0.0005190278846760177,0.00012975697116900442
